dimension,funcion,algoritmo,variante,repeticion,mejor_final,tiempo_total,iter_mejor
10,Esfera,PSO,PSO_estandar,0,0.0045345575063144745,0.024261899998236913,99
10,Esfera,PSO,PSO_estandar,1,0.0003228277537137926,0.023837400003685616,99
10,Esfera,PSO,PSO_estandar,2,0.00021180662799063485,0.02360430000408087,99
10,Esfera,PSO,PSO_estandar,3,0.0005171192910535609,0.02381729999615345,98
10,Esfera,PSO,PSO_estandar,4,0.001006412909940419,0.02368239999486832,98
10,Esfera,PSO,PSO_estandar,5,0.001347244790052187,0.023886800001491793,99
10,Esfera,PSO,PSO_estandar,6,0.0027624041599060957,0.02374469999631401,97
10,Esfera,PSO,PSO_estandar,7,0.00033205213633850087,0.023888799994892906,98
10,Esfera,PSO,PSO_estandar,8,0.001126681460538447,0.023972800001502037,99
10,Esfera,PSO,PSO_estandar,9,0.0006452995490476945,0.023939099999552127,98
10,Esfera,PSO,PSO_estandar,10,0.0007693493601326091,0.023649599999771453,99
10,Esfera,PSO,PSO_estandar,11,0.004957804435038458,0.023808200006897096,99
10,Esfera,PSO,PSO_estandar,12,0.002405176150279298,0.023646399997232947,99
10,Esfera,PSO,PSO_estandar,13,0.0012336029494618833,0.023711699999694247,94
10,Esfera,PSO,PSO_estandar,14,0.0029977634112012663,0.023670599999604747,99
10,Esfera,PSO,PSO_estandar,15,0.0016916071601991629,0.02420640000491403,98
10,Esfera,PSO,PSO_estandar,16,0.0023241112233654874,0.02403220000269357,99
10,Esfera,PSO,PSO_estandar,17,0.0023783163909346493,0.024343699995370116,98
10,Esfera,PSO,PSO_estandar,18,0.0014586022157904001,0.02470000000175787,99
10,Esfera,PSO,PSO_estandar,19,0.000965352613766186,0.023724899998342153,96
10,Esfera,PSO,PSO_estandar,20,0.0006180693696085655,0.023906499998702202,99
10,Esfera,PSO,PSO_estandar,21,0.0012046695483482522,0.02380540000012843,95
10,Esfera,PSO,PSO_estandar,22,0.0017722874565082448,0.024165000002540182,99
10,Esfera,PSO,PSO_estandar,23,0.0051267288957955875,0.02947969999513589,99
10,Esfera,PSO,PSO_estandar,24,0.0013979663708369539,0.024133799997798633,98
10,Esfera,PSO,PSO_estandar,25,0.004189215526727637,0.0245744999992894,99
10,Esfera,PSO,PSO_estandar,26,0.0017329071018214967,0.024225100001785904,99
10,Esfera,PSO,PSO_estandar,27,0.005203241344354379,0.024426000003586523,99
10,Esfera,PSO,PSO_estandar,28,0.0007109196157562489,0.023862899994128384,99
10,Esfera,PSO,PSO_estandar,29,0.00043036889164640356,0.023958199999469798,99
10,Esfera,PSO,PSO_exploracion,0,2308.9936946998205,0.02496380000229692,65
10,Esfera,PSO,PSO_exploracion,1,1866.80518318217,0.024449200005619787,70
10,Esfera,PSO,PSO_exploracion,2,1221.9668310158108,0.023547099997813348,37
10,Esfera,PSO,PSO_exploracion,3,2632.3671262889734,0.023534899999503978,72
10,Esfera,PSO,PSO_exploracion,4,1346.3490487394063,0.023818800000299234,85
10,Esfera,PSO,PSO_exploracion,5,2233.88844535721,0.023566900003061164,36
10,Esfera,PSO,PSO_exploracion,6,2683.2722673582884,0.023455599999579135,47
10,Esfera,PSO,PSO_exploracion,7,2391.967527724102,0.023359200000413693,71
10,Esfera,PSO,PSO_exploracion,8,2000.3735768571141,0.02337460000126157,40
10,Esfera,PSO,PSO_exploracion,9,2514.6832393533186,0.02338179999787826,73
10,Esfera,PSO,PSO_exploracion,10,2734.21097895817,0.023334199999226257,60
10,Esfera,PSO,PSO_exploracion,11,2048.5599103293566,0.023390800000925083,92
10,Esfera,PSO,PSO_exploracion,12,2391.0985676190144,0.023402300001180265,80
10,Esfera,PSO,PSO_exploracion,13,2182.3088719357693,0.0249614999993355,47
10,Esfera,PSO,PSO_exploracion,14,2329.503859768826,0.02754050000658026,54
10,Esfera,PSO,PSO_exploracion,15,2342.4446062147126,0.024447399999189656,88
10,Esfera,PSO,PSO_exploracion,16,1589.6937757390676,0.02421670000330778,70
10,Esfera,PSO,PSO_exploracion,17,1854.0631996355353,0.026145399999222718,97
10,Esfera,PSO,PSO_exploracion,18,2839.928877269125,0.030430400001932867,91
10,Esfera,PSO,PSO_exploracion,19,3321.995454098952,0.027844900003401563,36
10,Esfera,PSO,PSO_exploracion,20,3188.680294342537,0.024411200000031386,48
10,Esfera,PSO,PSO_exploracion,21,1150.4328486865745,0.023981199999980163,38
10,Esfera,PSO,PSO_exploracion,22,2715.4520395042714,0.023303399997530505,31
10,Esfera,PSO,PSO_exploracion,23,1580.3572630922172,0.023235900000145193,82
10,Esfera,PSO,PSO_exploracion,24,3462.155072435756,0.023627700000361074,87
10,Esfera,PSO,PSO_exploracion,25,3021.2102397007097,0.024909899999329355,50
10,Esfera,PSO,PSO_exploracion,26,1413.7175174152442,0.02400589999888325,98
10,Esfera,PSO,PSO_exploracion,27,1154.7642667055954,0.023792699998011813,56
10,Esfera,PSO,PSO_exploracion,28,1993.4704318684383,0.02354919999925187,46
10,Esfera,PSO,PSO_exploracion,29,2336.0481714135294,0.023358499995083548,43
10,Esfera,PSO,PSO_explotacion,0,963.6777920569326,0.024181900000257883,99
10,Esfera,PSO,PSO_explotacion,1,179.27668848779422,0.024785500005236827,99
10,Esfera,PSO,PSO_explotacion,2,329.50916123011797,0.023793500004103407,99
10,Esfera,PSO,PSO_explotacion,3,1219.7487714353215,0.023925699999381322,99
10,Esfera,PSO,PSO_explotacion,4,90.42438706232092,0.023915400000987574,99
10,Esfera,PSO,PSO_explotacion,5,35.02296113483925,0.02408139999897685,99
10,Esfera,PSO,PSO_explotacion,6,364.7077791751971,0.02395280000200728,99
10,Esfera,PSO,PSO_explotacion,7,624.9465123277828,0.02405930000531953,99
10,Esfera,PSO,PSO_explotacion,8,431.467871803876,0.023927900001581293,99
10,Esfera,PSO,PSO_explotacion,9,120.39830116650292,0.024193600002035964,99
10,Esfera,PSO,PSO_explotacion,10,92.06718151052597,0.023970200003532227,99
10,Esfera,PSO,PSO_explotacion,11,78.89290592829693,0.028491099998063873,99
10,Esfera,PSO,PSO_explotacion,12,88.42845205914864,0.02410769999551121,99
10,Esfera,PSO,PSO_explotacion,13,148.9676755763377,0.024088800004392397,99
10,Esfera,PSO,PSO_explotacion,14,460.95424869934925,0.023920799998450093,99
10,Esfera,PSO,PSO_explotacion,15,541.0641780517578,0.02747090000048047,99
10,Esfera,PSO,PSO_explotacion,16,293.834704212014,0.028507099996204488,99
10,Esfera,PSO,PSO_explotacion,17,134.8757982185838,0.024326300001121126,99
10,Esfera,PSO,PSO_explotacion,18,230.6487146423346,0.023861899993789848,99
10,Esfera,PSO,PSO_explotacion,19,130.7743929658715,0.02403549999871757,99
10,Esfera,PSO,PSO_explotacion,20,211.01584747700386,0.02399340000556549,99
10,Esfera,PSO,PSO_explotacion,21,168.55932206778465,0.023743099998682737,99
10,Esfera,PSO,PSO_explotacion,22,292.6385457848412,0.02382729999953881,99
10,Esfera,PSO,PSO_explotacion,23,580.4368991904686,0.02396730000327807,99
10,Esfera,PSO,PSO_explotacion,24,298.3191091203842,0.024043999997957144,99
10,Esfera,PSO,PSO_explotacion,25,307.34381147825434,0.023825800002668984,99
10,Esfera,PSO,PSO_explotacion,26,702.4316025993421,0.023772000000462867,99
10,Esfera,PSO,PSO_explotacion,27,1147.0094882019403,0.024078000002191402,99
10,Esfera,PSO,PSO_explotacion,28,265.3898217678832,0.02377369999885559,99
10,Esfera,PSO,PSO_explotacion,29,81.9506030654124,0.024026700004469603,99
10,Esfera,AG,AG_base,0,0.9379474252678809,0.6174743000010494,93
10,Esfera,AG,AG_base,1,1.2471760128409166,0.6065552000000025,89
10,Esfera,AG,AG_base,2,0.6773421798837784,0.6032478999986779,65
10,Esfera,AG,AG_base,3,1.1367839935342539,0.6033304999946267,96
10,Esfera,AG,AG_base,4,1.0222715579597261,0.6073270999986562,99
10,Esfera,AG,AG_base,5,1.3617716870126932,0.6061070000068867,90
10,Esfera,AG,AG_base,6,1.6598047869408485,0.60490910000226,99
10,Esfera,AG,AG_base,7,1.4828049366856708,0.6083791999990353,87
10,Esfera,AG,AG_base,8,0.31345521849600133,0.6070918000041274,96
10,Esfera,AG,AG_base,9,1.2156642135823987,0.6072666000036406,94
10,Esfera,AG,AG_base,10,0.4150185177825434,0.6087610000031418,94
10,Esfera,AG,AG_base,11,0.8057178366726173,0.6112473999965005,98
10,Esfera,AG,AG_base,12,0.386019512345972,0.6068543000001227,97
10,Esfera,AG,AG_base,13,0.30270497554523573,0.6074819999994361,85
10,Esfera,AG,AG_base,14,0.8401909786465948,0.6059633999975631,78
10,Esfera,AG,AG_base,15,0.6055838645423361,0.607317800000601,93
10,Esfera,AG,AG_base,16,0.7563025565470283,0.6073695000013686,96
10,Esfera,AG,AG_base,17,0.42675797521681513,0.6071553999936441,97
10,Esfera,AG,AG_base,18,0.2589632119110824,0.6060848999986774,79
10,Esfera,AG,AG_base,19,1.2443972701667037,0.6043839999983902,86
10,Esfera,AG,AG_base,20,0.8378463890194285,0.6054438999999547,98
10,Esfera,AG,AG_base,21,0.2965817691357577,0.6040967000008095,98
10,Esfera,AG,AG_base,22,0.29255940427826876,0.6061844000068959,97
10,Esfera,AG,AG_base,23,0.5094982447979973,0.6083939999953145,98
